run,obs_timestep,server_rtc_enabled,server_rtc_real_delay,current_p,server_first_p,server_end_p,server_max_p,image_variant,offline_first_mean,offline_end_mean,offline_max_mean,delta_end_server_minus_offline,delta_first_server_minus_offline,offline_end_minus_current_p,server_end_minus_current_p
recorded_obs-0629-01,323,True,3.0,0.8702196153801843,0.8427795317740553,0.8221115158071604,0.9406952199842519,saved_rgb,0.8715350975047522,0.8714816891761586,0.9532484039674338,-0.049370173368998294,-0.02875556573069693,0.0012620737959743167,-0.04810809957302398
recorded_obs-0629-01,323,True,3.0,0.8702196153801843,0.8427795317740553,0.8221115158071604,0.9406952199842519,server_jpeg_bgr_q90,0.8728810621733857,0.8878305983353665,0.9603075347176337,-0.06571908252820613,-0.03010153039933039,0.017610982955182153,-0.04810809957302398
recorded_obs-0629-01,325,True,3.0,0.883508978846213,0.914023627681633,0.868690069350587,0.9448899741709418,saved_rgb,0.8864444617221524,0.723365930916432,0.9215061468120785,0.14532413843415504,0.027579165959480623,-0.16014304792978107,-0.014818909495626031
recorded_obs-0629-01,325,True,3.0,0.883508978846213,0.914023627681633,0.868690069350587,0.9448899741709418,server_jpeg_bgr_q90,0.8868277425909625,0.7320486957369191,0.9317411766713681,0.1366413736136679,0.027195885090670502,-0.15146028310929394,-0.014818909495626031
recorded_obs-0629-02,0,True,2.0,0.0,-0.014340986294063643,0.013317549893887032,0.05168840310981955,saved_rgb,-0.002517938946432113,0.0305400127671501,0.14881527607950046,-0.017222462873263067,-0.011823047347631531,0.0305400127671501,0.013317549893887032
recorded_obs-0629-02,0,True,2.0,0.0,-0.014340986294063643,0.013317549893887032,0.05168840310981955,server_jpeg_bgr_q90,-0.0018871571512576752,0.042044499710955044,0.18541303207466778,-0.028726949817068012,-0.012453829142805968,0.042044499710955044,0.013317549893887032
recorded_obs-0629-02,16,True,3.0,0.0005203654963712876,0.013047543518961759,0.18796624558986294,0.18796624558986294,<not_replayed>,,,,,,,
recorded_obs-0629-02,18,True,3.0,0.005263647944067662,0.026710212118144477,0.009472231681635645,0.11558239058117124,<not_replayed>,,,,,,,
recorded_obs-0629-02,33,True,3.0,0.04403256651476721,0.012087751050226232,0.030572882842440526,0.261964923002511,<not_replayed>,,,,,,,
recorded_obs-0629-02,35,True,3.0,0.0687977204699856,0.11164511282082629,0.12921131294396396,0.448877174774509,<not_replayed>,,,,,,,
recorded_obs-0629-02,50,True,3.0,0.3058883381256314,0.42484681500175914,0.6610656360379231,0.7382491454068792,saved_rgb,0.3197750238136905,0.8600912339211584,0.8753656196735269,-0.19902559788323526,0.10507179118806864,0.554202895795527,0.35517729791229175
recorded_obs-0629-02,50,True,3.0,0.3058883381256314,0.42484681500175914,0.6610656360379231,0.7382491454068792,server_jpeg_bgr_q90,0.31913519708853916,0.8874562486385924,0.8991197749425212,-0.22639061260066928,0.10571161791321998,0.581567910512961,0.35517729791229175
recorded_obs-0629-02,52,True,3.0,0.29996007034702427,0.3955917484506421,0.9509396190127309,0.9619122462034918,saved_rgb,0.30796003956879325,0.8471897409280738,0.8611313867014626,0.10374987808465719,0.08763170888184885,0.5472296705810495,0.6509795486657066
recorded_obs-0629-02,52,True,3.0,0.29996007034702427,0.3955917484506421,0.9509396190127309,0.9619122462034918,server_jpeg_bgr_q90,0.3069328610455969,0.8651953853978069,0.8761647698544011,0.085744233614924,0.08865888740504518,0.5652353150507827,0.6509795486657066
recorded_obs-0629-02,67,True,3.0,0.6620120687208847,0.672891825330649,0.3473576895566665,0.9077741764179725,<not_replayed>,,,,,,,
recorded_obs-0629-02,69,True,3.0,0.7329612092291372,0.7618858058760365,0.3193630533475003,0.8267277688673212,<not_replayed>,,,,,,,
recorded_obs-0629-02,84,True,3.0,0.8250771130871825,0.7663696360433155,0.8225511830934487,0.9022510580364574,saved_rgb,0.8445850543122301,0.6388833664831819,0.9068711416185117,0.18366781661026677,-0.07821541826891454,-0.18619374660400057,-0.0025259299937338
recorded_obs-0629-02,84,True,3.0,0.8250771130871825,0.7663696360433155,0.8225511830934487,0.9022510580364574,server_jpeg_bgr_q90,0.8452392056353963,0.6134385701335139,0.9143751740557249,0.20911261295993477,-0.0788695695920808,-0.21163854295366857,-0.0025259299937338
recorded_obs-0629-02,86,True,3.0,0.8379419256364874,0.7848285072431561,0.4546759987645077,0.8599716716322705,saved_rgb,0.8463971158233248,0.6005896638974916,0.8879774735441346,-0.14591366513298387,-0.06156860858016866,-0.23735226173899582,-0.3832659268719797
recorded_obs-0629-02,86,True,3.0,0.8379419256364874,0.7848285072431561,0.4546759987645077,0.8599716716322705,server_jpeg_bgr_q90,0.8464277938307205,0.6068854263042036,0.9012554635861582,-0.1522094275396959,-0.06159928658756442,-0.23105649933228378,-0.3832659268719797
recorded_obs-0629-02,101,True,3.0,0.829137321283978,0.8518684123522743,0.9128549549780988,0.9515084458389392,saved_rgb,0.8500691676265518,0.7525792126355472,0.9130479770191562,0.1602757423425516,0.0017992447257224597,-0.07655810864843082,0.08371763369412077
